Untitled Report

Date/Time Generated,11/11/15 3:15 PM
Report Time Zone,Asia/Hong_Kong
Account ID,37103
Date Range,7/20/15 - 10/20/15
Campaign,Equals:SG_ECOM_1502_Display_Room Nights Acquisition 2015 (8479014)

Report Fields
Campaign,Campaign ID,Site (DCM),Placement,Date,Impressions,Clicks,Click Rate,Total Conversions,Click-through Conversions,Total Revenue
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-19,441,3,0.68,2,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-20,386,1,0.26,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-21,355,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-22,596,2,0.34,1,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-23,587,4,0.68,3,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-24,902,1,0.11,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-25,764,2,0.26,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-26,786,1,0.13,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-27,924,2,0.22,4,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-28,652,5,0.77,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-29,509,11,2.16,1,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-30,505,1,0.20,3,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-08-31,489,1,0.20,3,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-01,443,1,0.23,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-02,425,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-03,444,1,0.23,1,0,0.000000000
